Hit,Title,Artist,Featuring
1,Smooth,Santana Featuring Rob Thomas,1
1,Back At One,Brian McKnight,0
1,I Wanna Love You Forever,Jessica Simpson,0
1,My Love Is Your Love,Whitney Houston,0
1,I Knew I Loved You,Savage Garden,0
1,I Need To Know,Marc Anthony,0
1,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",1
1,U Know What's Up,Donell Jones,0
1,Bring It All To Me,Blaque,0
1,Girl On TV,LFO,0
1,What A Girl Wants,Christina Aguilera,0
1,24-Jul,Kevon Edmonds,0
1,Blue (Da Ba Dee),Eiffel 65,0
1,Then The Morning Comes,Smash Mouth,0
1,He Can't Love U,Jagged Edge,0
1,Waiting For Tonight,Jennifer Lopez,0
1,That's The Way It Is,Celine Dion,0
1,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,0
1,Dancin',Guy,0
1,Steal My Sunshine,Len,0
1,Get It On Tonite,Montell Jordan,0
1,Learn To Fly,Foo Fighters,0
1,Big Deal,LeAnn Rimes,0
1,Meet Virginia,Train,0
1,Unpretty,TLC,0
1,Breathe,Faith Hill,0
1,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,1
1,"4, 5, 6",Sole Featuring JT Money & Kandi,1
1,Stay The Night,IMx,0
1,Don't Say You Love Me,M2M,0
1,Where My Girls At?,702,0
1,Mambo No. 5 (A Little Bit Of...),Lou Bega,0
1,Hanginaround,Counting Crows,0
1,Take A Picture,Filter,0
1,Get Gone,Ideal,0
1,Someday,Sugar Ray,0
1,He Didn't Have To Be,Brad Paisley,0
1,Got Your Money,Ol' Dirty Bastard Featuring Kelis,1
1,Shake Your Bon-Bon,Ricky Martin,0
1,If You Love Me,Mint Condition,0
1,Black Balloon,Goo Goo Dolls,0
1,Rhythm Divine,Enrique Iglesias,0
1,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1
1,Satisfy You,Puff Daddy Featuring R. Kelly,1
1,Amazed,Lonestar,0
1,What Do You Say,Reba,0
1,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,1
1,Cowboy Take Me Away,Dixie Chicks,0
1,When I Said I Do,Clint Black,0
1,My Best Friend,Tim McGraw,0
1,Got To Get It,Sisqo Featuring Make It Hot,1
1,All The Small Things,Blink-182,0
1,This Gift,98 Degrees,0
1,Auld Lang Syne,Kenny G,0
1,Angels,Robbie Williams,0
1,Say My Name,Destiny's Child,0
1,Pop A Top,Alan Jackson,0
1,Caught Out There,Kelis,0
1,15 Minutes,Marc Nelson,0
1,Heartbreaker,Mariah Carey Featuring Jay-Z,1
1,Higher,Creed,0
1,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",1
1,Will 2K,Will Smith Featuring K-Ci,1
1,Deep Inside,Mary J. Blige,0
1,All Things Considered,Yankee Grey,0
1,I Love You,Martina McBride,0
1,Sexual (Li Da Di),Amber,0
1,None Of Ur Friends Business,Ginuwine,0
1,Deck The Halls,SHeDAISY,0
1,Left & Right,D'Angelo Featuring Method Man And Redman,1
1,Smile,Lonestar,0
1,The Great Beyond,R.E.M.,0
1,Bug A Boo,Destiny's Child,0
1,Show Me The Meaning Of Being Lonely,Backstreet Boys,0
1,We Can't Be Friends,Deborah Cox With R.L.,0
1,(You Drive Me) Crazy,Britney Spears,0
1,One Night Stand,J-Shin Featuring LaTocha Scott,1
1,N 2 Gether Now,Limp Bizkit Featuring Method Man,1
1,No More Rain (In This Cloud),Angie Stone,0
1,Home To You,John Michael Montgomery,0
1,The Chemicals Between Us,Bush,0
1,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,1
1,Guerrilla Radio,Rage Against The Machine,0
1,"Live, Laugh, Love",Clay Walker,0
1,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,1
1,She Thinks My Tractor's Sexy,Kenny Chesney,0
1,Larger Than Life,Backstreet Boys,0
1,There She Goes,Sixpence None The Richer,0
1,The Greatest Romance Ever Sold,Prince,0
1,The Rockafeller Skank,Fatboy Slim,0
1,Give You What You Want (Fa Sure),Chico DeBarge,0
1,Music Of My Heart,'N Sync & Gloria Estefan,0
1,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,0
1,I Wanna Know,Joe,0
1,Re-arranged,Limp Bizkit,0
1,L.A. Song,Beth Hart,0
1,Gotta Man,Eve,0
1,The Quittin' Kind,Joe Diffie,0
1,Steam,Ty Herndon,0
1,NAStradamus,Nas,0
1,G'd Up,Snoop Dogg Presents Tha Eastsidaz,0
1,All I Want For Christmas Is You,Mariah Carey,0
1,Love Is Blind,Eve Featuring Faith Evans,1
1,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",0
1,Falls Apart,Sugar Ray,0
1,Back At One,Mark Wills,0
1,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,1
1,What's My Name,DMX,0
1,Never Let You Go,Third Eye Blind,0
1,It Feels So Good,Sonique,0
1,Everything You Want,Vertical Horizon,0
1,Breathe And Stop,Q-Tip,0
1,Forgot About Dre,Dr. Dre Featuring Eminem,1
1,Untitled (How Does It Feel),D'Angelo,0
1,Smoke Rings In The Dark,Gary Allan,0
1,Bye Bye Bye,'N Sync,0
1,The Best Day,George Strait,0
1,Thong Song,Sisqo,0
1,"Tricky, Tricky",Lou Bega,0
1,From The Bottom Of My Broken Heart,Britney Spears,0
1,How Do You Like Me Now?!,Toby Keith,0
1,Lessons Learned,Tracy Lawrence,0
1,Put Your Hand In Mine,Tracy Byrd,0
1,Because You Love Me,Jo Dee Messina,0
1,I Don't Wanna,Aaliyah,0
1,I Like It,Sammie,0
1,Love's The Only House,Martina McBride,0
1,This Woman Needs,SHeDAISY,0
1,U Understand,Juvenile,0
1,Candy,Mandy Moore,0
1,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,1
1,Maria Maria,Santana Featuring The Product G&B,1
1,Dear Lie,TLC,0
1,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,1
1,Otherside,Red Hot Chili Peppers,0
1,No Leaf Clover,Metallica,0
1,Freakin' It,Will Smith,0
1,"Left, Right, Left",Drama,0
1,American Pie,Madonna,0
1,Only God Knows Why,Kid Rock,0
1,I Try,Macy Gray,0
1,Another Dumb Blonde,Hoku,0
1,I Need A Hot Girl,Hot Boys,0
