Title,Artist,Featuring,Hit,Unnamed: 0.1,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
Smooth,Santana Featuring Rob Thomas,1,1,0,0.16,0.609,294987,0.923,4.73E-06,9,0.295,-3.908,0.0338,115.996,0.961
Bring It All To Me,Blaque,0,1,8,0.000479,0.695,218187,0.579,0,0,0.0556,-5.066,0.0325,88.957,0.726
That's The Way It Is,Celine Dion,0,1,16,0.154,0.634,241373,0.886,0,9,0.118,-5.424,0.0434,93.04,0.577
Unpretty,TLC,0,1,24,0.00152,0.648,278067,0.622,5.97E-05,7,0.109,-6.063,0.0428,88.684,0.51
Hanginaround,Counting Crows,0,1,32,0.295,0.503,247333,0.785,0,0,0.744,-6.571,0.0743,91.464,0.734
Black Balloon,Goo Goo Dolls,0,1,40,0.057,0.339,249533,0.625,0.000102,1,0.229,-8.57,0.028,104.68,0.334
When I Said I Do,Clint Black,0,1,48,0.308,0.507,268960,0.411,0,10,0.106,-8.657,0.0276,102.806,0.184
Pop A Top,Alan Jackson,0,1,56,0.291,0.699,185427,0.477,0,2,0.164,-9.339,0.031,118.382,0.83
All Things Considered,Yankee Grey,0,1,64,0.237,0.656,159667,0.746,0,8,0.0214,-5.379,0.0325,140.865,0.96
Bug A Boo,Destiny's Child,0,1,72,0.00413,0.76,212440,0.718,7.63E-06,6,0.18,-3.087,0.147,104.42,0.927
The Chemicals Between Us,Bush,0,1,80,0.00317,0.512,217493,0.958,0.0403,7,0.295,-3.979,0.16,97.715,0.39
The Greatest Romance Ever Sold,Prince,0,1,88,0.372,0.844,331307,0.449,9.54E-06,0,0.0883,-6.873,0.0409,90.025,0.574
Gotta Man,Eve,0,1,96,0.155,0.798,264733,0.87,0.000636,3,0.0706,-3.994,0.127,90.524,0.907
Falls Apart,Sugar Ray,0,1,269,0.00318,0.561,255160,0.897,0.00623,4,0.248,-3.974,0.0306,103.461,0.599
Forgot About Dre,Dr. Dre Featuring Eminem,1,1,374,0.0827,0.924,222293,0.74,0,8,0.163,-1.299,0.0774,133.974,0.621
How Do You Like Me Now?!,Toby Keith,0,1,476,0.0534,0.648,209067,0.667,6.94E-06,0,0.0908,-8.986,0.0311,109.609,0.669
